Mass,Position,Velocity,Acceleration
25735.0,"[-5437.709537386994, 4074.0840133301635, 0.0]","[-6.768384530380475, -1.4197112594111747, 0.0]","[0.006915086208260796, -0.005189216778337523, 0.0]"
25735.0,"[-5444.477921917375, 4072.6643020707525, 0.0]","[-6.76147478483516, -1.4248882103084324, 0.0]","[0.006909745545314765, -0.00517695089725761, 0.0]"
25735.0,"[-5451.23939670221, 4071.239413860444, 0.0]","[-6.754570371697523, -1.430052934782184, 0.0]","[0.006904413137637851, -0.005164724473751572, 0.0]"
25735.0,"[-5457.993967073908, 4069.809360925662, 0.0]","[-6.747671282711341, -1.4352054721164647, 0.0]","[0.006899088986181415, -0.005152537334280634, 0.0]"
25735.0,"[-5464.741638356619, 4068.3741554535454, 0.0]","[-6.740777509619621, -1.4403458614227074, 0.0]","[0.006893773091719803, -0.005140389306242647, 0.0]"
25735.0,"[-5471.482415866239, 4066.9338095921225, 0.0]","[-6.733889044164768, -1.4454741416406736, 0.0]","[0.006888465454852582, -0.0051282802179661024, 0.0]"
25735.0,"[-5478.216304910404, 4065.488335450482, 0.0]","[-6.727005878088762, -1.4505903515393779, 0.0]","[0.006883166076006745, -0.005116209898704228, 0.0]"
25735.0,"[-5484.943310788492, 4064.0377450989427, 0.0]","[-6.720128003133323, -1.455694529718007, 0.0]","[0.006877874955438892, -0.005104178178629089, 0.0]"
25735.0,"[-5491.663438791626, 4062.5820505692245, 0.0]","[-6.713255411040086, -1.4607867146068327, 0.0]","[0.006872592093237393, -0.0050921848888257565, 0.0]"
25735.0,"[-5498.376694202666, 4061.1212638546176, 0.0]","[-6.706388093550761, -1.4658669444681192, 0.0]","[0.006867317489324507, -0.005080229861286495, 0.0]"
25735.0,"[-5505.083082296217, 4059.6553969101496, 0.0]","[-6.699526042407303, -1.4709352573970242, 0.0]","[0.006862051143458491, -0.005068312928905016, 0.0]"
25735.0,"[-5511.782608338624, 4058.184461652753, 0.0]","[-6.692669249352067, -1.475991691322495, 0.0]","[0.0068567930552356875, -0.005056433925470754, 0.0]"
25735.0,"[-5518.475277587976, 4056.70846996143, 0.0]","[-6.685817706127975, -1.4810362840081583, 0.0]","[0.006851543224092603, -0.005044592685663206, 0.0]"
25735.0,"[-5525.161095294104, 4055.227433677422, 0.0]","[-6.678971404478667, -1.4860690730532047, 0.0]","[0.00684630164930791, -0.005032789045046286, 0.0]"
25735.0,"[-5531.840066698583, 4053.7413646043688, 0.0]","[-6.672130336148663, -1.4910900958932674, 0.0]","[0.006841068330004491, -0.00502102284006273, 0.0]"
25735.0,"[-5538.512197034731, 4052.2502745084753, 0.0]","[-6.665294492883511, -1.496099389801296, 0.0]","[0.006835843265151429, -0.005009293908028553, 0.0]"
25735.0,"[-5545.177491527615, 4050.754175118674, 0.0]","[-6.658463866429945, -1.5010969918884236, 0.0]","[0.006830626453565963, -0.004997602087127539, 0.0]"
25735.0,"[-5551.8359553940445, 4049.2530781267856, 0.0]","[-6.65163844853603, -1.5060829391048294, 0.0]","[0.006825417893915453, -0.004985947216405752, 0.0]"
25735.0,"[-5558.48759384258, 4047.7469951876806, 0.0]","[-6.64481823095131, -1.5110572682405956, 0.0]","[0.006820217584719303, -0.004974329135766122, 0.0]"
25735.0,"[-5565.132412073532, 4046.23593791944, 0.0]","[-6.638003205426959, -1.5160200159265587, 0.0]","[0.00681502552435086, -0.00496274768596304, 0.0]"
25735.0,"[-5571.770415278958, 4044.7199179035133, 0.0]","[-6.63119336371592, -1.5209712186351556, 0.0]","[0.006809841711039305, -0.004951202708597, 0.0]"
25735.0,"[-5578.401608642675, 4043.198946684878, 0.0]","[-6.624388697573049, -1.5259109126812649, 0.0]","[0.00680466614287152, -0.004939694046109293, 0.0]"
25735.0,"[-5585.025997340247, 4041.6730357721967, 0.0]","[-6.617589198755255, -1.5308391342230416, 0.0]","[0.006799498817793918, -0.004928221541776718, 0.0]"
25735.0,"[-5591.643586539002, 4040.1421966379735, 0.0]","[-6.610794859021641, -1.535755919262748, 0.0]","[0.006794339733614287, -0.004916785039706352, 0.0]"
25735.0,"[-5598.254381398024, 4038.606440718711, 0.0]","[-6.604005670133637, -1.5406613036475783, 0.0]","[0.006789188888003566, -0.004905384384830327, 0.0]"
25735.0,"[-5604.858387068158, 4037.0657794150634, 0.0]","[-6.597221623855139, -1.545555323070479, 0.0]","[0.00678404627849765, -0.004894019422900687, 0.0]"
25735.0,"[-5611.455608692013, 4035.520224091993, 0.0]","[-6.59044271195264, -1.5504380130709632, 0.0]","[0.006778911902499138, -0.004882690000484244, 0.0]"
25735.0,"[-5618.046051403966, 4033.969786078922, 0.0]","[-6.583668926195362, -1.5553094090359207, 0.0]","[0.006773785757279082, -0.00487139596495749, 0.0]"
25735.0,"[-5624.629720330161, 4032.414476669886, 0.0]","[-6.576900258355383, -1.5601695462004224, 0.0]","[0.006768667839978713, -0.00486013716450154, 0.0]"
25735.0,"[-5631.206620588517, 4030.8543071236854, 0.0]","[-6.5701367002077715, -1.5650184596485195, 0.0]","[0.006763558147611141, -0.004848913448097111, 0.0]"
25735.0,"[-5637.776757288724, 4029.289288664037, 0.0]","[-6.563378243530709, -1.569856184314039, 0.0]","[0.006758456677063029, -0.004837724665519539, 0.0]"
25735.0,"[-5644.340135532255, 4027.719432479723, 0.0]","[-6.556624880105613, -1.574682754981373, 0.0]","[0.006753363425096289, -0.0048265706673338285, 0.0]"
25735.0,"[-5650.896760412361, 4026.1447497247414, 0.0]","[-6.549876601717263, -1.5794982062862626, 0.0]","[0.006748278388349704, -0.0048154513048897386, 0.0]"
25735.0,"[-5657.446637014078, 4024.565251518455, 0.0]","[-6.5431334001539225, -1.5843025727165796, 0.0]","[0.006743201563340568, -0.004804366430316908, 0.0]"
25735.0,"[-5663.989770414232, 4022.9809489457384, 0.0]","[-6.536395267207456, -1.5890958886130997, 0.0]","[0.006738132946466295, -0.004793315896520005, 0.0]"
25735.0,"[-5670.52616568144, 4021.3918530571254, 0.0]","[-6.52966219467345, -1.5938781881702737, 0.0]","[0.006733072534006015, -0.004782299557173921, 0.0]"
25735.0,"[-5677.055827876114, 4019.797974868955, 0.0]","[-6.522934174351327, -1.5986495054369927, 0.0]","[0.006728020322122155, -0.004771317266718996, 0.0]"
25735.0,"[-5683.578762050465, 4018.199325363518, 0.0]","[-6.5162111980444655, -1.603409874317349, 0.0]","[0.006722976306861977, -0.004760368880356267, 0.0]"
25735.0,"[-5690.09497324851, 4016.5959154892003, 0.0]","[-6.509493257560306, -1.6081593285713918, 0.0]","[0.006717940484159152, -0.004749454254042781, 0.0]"
25735.0,"[-5696.60446650607, 4014.987756160629, 0.0]","[-6.502780344710471, -1.6128979018158787, 0.0]","[0.0067129128498352566, -0.004738573244486893, 0.0]"
25735.0,"[-5703.10724685078, 4013.374858258813, 0.0]","[-6.49607245131087, -1.6176256275250223, 0.0]","[0.006707893399601289, -0.004727725709143645, 0.0]"
25735.0,"[-5709.603319302091, 4011.7572326312884, 0.0]","[-6.489369569181811, -1.6223425390312325, 0.0]","[0.006702882129059169, -0.00471691150621015, 0.0]"
25735.0,"[-5716.092688871273, 4010.134890092257, 0.0]","[-6.482671690148107, -1.6270486695258535, 0.0]","[0.006697879033703188, -0.004706130494621006, 0.0]"
25735.0,"[-5722.575360561421, 4008.5078414227314, 0.0]","[-6.475978806039186, -1.6317440520598971, 0.0]","[0.0066928841089215, -0.004695382534043769, 0.0]"
25735.0,"[-5729.05133936746, 4006.8760973706717, 0.0]","[-6.469290908689189, -1.6364287195447715, 0.0]","[0.006687897349997542, -0.00468466748487443, 0.0]"
25735.0,"[-5735.520630276149, 4005.239668651127, 0.0]","[-6.462607989937077, -1.6411027047530045, 0.0]","[0.006682918752111448, -0.004673985208232932, 0.0]"
25735.0,"[-5741.983238266086, 4003.598565946374, 0.0]","[-6.455930041626736, -1.6457660403189631, 0.0]","[0.006677948310341493, -0.00466333556595873, 0.0]"
25735.0,"[-5748.439168307713, 4001.952799906055, 0.0]","[-6.449257055607071, -1.6504187587395696, 0.0]","[0.006672986019665453, -0.0046527184206063615, 0.0]"
25735.0,"[-5754.88842536332, 4000.3023811473154, 0.0]","[-6.4425890237321095, -1.6550608923750105, 0.0]","[0.006668031874962009, -0.004642133635441074, 0.0]"
25735.0,"[-5761.331014387051, 3998.6473202549405, 0.0]","[-6.435925937861097, -1.659692473449445, 0.0]","[0.006663085871012089, -0.004631581074434454, 0.0]"
25735.0,"[-5767.766940324912, 3996.987627781491, 0.0]","[-6.4292677898585975, -1.664313534051705, 0.0]","[0.006658148002500233, -0.004621060602260116, 0.0]"
25735.0,"[-5774.19620811477, 3995.323314247439, 0.0]","[-6.422614571594582, -1.6689241061359945, 0.0]","[0.006653218264015917, -0.0046105720842893935, 0.0]"
25735.0,"[-5780.618822686365, 3993.6543901413033, 0.0]","[-6.415966274944527, -1.6735242215225816, 0.0]","[0.006648296650054877, -0.0046001153865870845, 0.0]"
25735.0,"[-5787.0347889613095, 3991.9808659197806, 0.0]","[-6.409322891789507, -1.678113911898489, 0.0]","[0.0066433831550204, -0.004589690375907204, 0.0]"
25735.0,"[-5793.444111853099, 3990.302752007882, 0.0]","[-6.402684414016282, -1.6826932088181776, 0.0]","[0.006638477773224634, -0.0045792969196887965, 0.0]"
25735.0,"[-5799.846796267115, 3988.620058799064, 0.0]","[-6.396050833517393, -1.6872621437042294, 0.0]","[0.006633580498889849, -0.004568934886051748, 0.0]"
25735.0,"[-5806.242847100632, 3986.9327966553597, 0.0]","[-6.389422142191243, -1.691820747848022, 0.0]","[0.00662869132614969, -0.0045586041437926305, 0.0]"
25735.0,"[-5812.632269242824, 3985.2409759075117, 0.0]","[-6.382798331942193, -1.6963690524104027, 0.0]","[0.0066238102490504495, -0.004548304562380605, 0.0]"
25735.0,"[-5819.015067574766, 3983.5446068551014, 0.0]","[-6.376179394680641, -1.700907088422356, 0.0]","[0.006618937261552273, -0.0045380360119533095, 0.0]"
25735.0,"[-5825.391246969447, 3981.843699766679, 0.0]","[-6.36956532232311, -1.7054348867856688, 0.0]","[0.006614072357530395, -0.004527798363312818, 0.0]"
25735.0,"[-5831.76081229177, 3980.1382648798935, 0.0]","[-6.362956106792334, -1.7099524782735904, 0.0]","[0.006609215530776339, -0.004517591487921592, 0.0]"
25735.0,"[-5838.123768398562, 3978.42831240162, 0.0]","[-6.356351740017335, -1.714459893531489, 0.0]","[0.006604366774999113, -0.004507415257898481, 0.0]"
25735.0,"[-5844.480120138579, 3976.7138525080886, 0.0]","[-6.349752213933508, -1.7189571630775038, 0.0]","[0.006599526083826384, -0.0044972695460147516, 0.0]"
25735.0,"[-5850.829872352512, 3974.994895345011, 0.0]","[-6.343157520482702, -1.723444317303194, 0.0]","[0.00659469345080564, -0.004487154225690124, 0.0]"
25735.0,"[-5857.173029872995, 3973.271451027708, 0.0]","[-6.336567651613296, -1.7279213864741827, 0.0]","[0.00658986886940536, -0.004477069170988865, 0.0]"
